Número,Nome,Estrelas,Idade (anos),Número de releases,Url
1,TheAlgorithms/Java,50706,6.66,0,https://github.com/TheAlgorithms/Java
2,DuGuQiuBai/Java,10845,7.3,0,https://github.com/DuGuQiuBai/Java
3,singgel/JAVA,3954,5.61,0,https://github.com/singgel/JAVA
4,kubernetes-client/java,2799,5.85,35,https://github.com/kubernetes-client/java
5,Snailclimb/JavaGuide,131894,4.85,0,https://github.com/Snailclimb/JavaGuide
6,HelloWorld521/Java,2444,6.26,0,https://github.com/HelloWorld521/Java
7,hmkcode/Java,706,9.9,0,https://github.com/hmkcode/Java
8,gaopu/Java,1379,8.32,0,https://github.com/gaopu/Java
9,pubnub/java,584,10.06,65,https://github.com/pubnub/java
10,bjmashibing/java,645,3.4,0,https://github.com/bjmashibing/java
11,wesbos/JavaScript30,23296,6.26,0,https://github.com/wesbos/JavaScript30
12,json-iterator/java,1427,6.27,4,https://github.com/json-iterator/java
13,chenhaoxiang/Java,1008,6.89,0,https://github.com/chenhaoxiang/Java
14,dockerfile/java,720,9.17,0,https://github.com/dockerfile/java
15,exercism/java,555,9.04,0,https://github.com/exercism/java
16,sous-chefs/java,376,11.0,45,https://github.com/sous-chefs/java
17,airbnb/javascript,132224,10.36,0,https://github.com/airbnb/javascript
18,AobingJava/JavaFamily,33315,3.34,0,https://github.com/AobingJava/JavaFamily
19,DuHouAn/Java,1288,4.44,0,https://github.com/DuHouAn/Java
20,trekhleb/javascript-algorithms,164934,4.97,0,https://github.com/trekhleb/javascript-algorithms
21,structurizr/java,884,8.76,79,https://github.com/structurizr/java
22,TheAlgorithms/JavaScript,25713,5.67,0,https://github.com/TheAlgorithms/JavaScript
23,Asabeneh/30-Days-Of-JavaScript,34216,3.23,0,https://github.com/Asabeneh/30-Days-Of-JavaScript
24,joeyajames/Java,208,7.25,0,https://github.com/joeyajames/Java
25,thaycacac/java,155,4.93,0,https://github.com/thaycacac/java
26,winterbe/java8-tutorial,16200,9.0,0,https://github.com/winterbe/java8-tutorial
27,iluwatar/java-design-patterns,80272,8.6,0,https://github.com/iluwatar/java-design-patterns
28,doocs/advanced-java,69098,4.44,1,https://github.com/doocs/advanced-java
29,bottleleung/Java,384,9.17,0,https://github.com/bottleleung/Java
30,tensorflow/java,608,3.51,8,https://github.com/tensorflow/java
31,lenve/JavaEETest,3257,6.25,0,https://github.com/lenve/JavaEETest
32,lydiahallie/javascript-questions,52932,3.76,0,https://github.com/lydiahallie/javascript-questions
33,ReactiveX/RxJava,46864,10.18,231,https://github.com/ReactiveX/RxJava
34,google/guava,46987,8.79,35,https://github.com/google/guava
35,17mon/java,207,8.32,0,https://github.com/17mon/java
36,Firebasky/Java,527,2.23,0,https://github.com/Firebasky/Java
37,akullpp/awesome-java,35754,8.68,0,https://github.com/akullpp/awesome-java
38,ryanmcdermott/clean-code-javascript,80460,6.3,0,https://github.com/ryanmcdermott/clean-code-javascript
39,skylot/jadx,33718,9.99,27,https://github.com/skylot/jadx
40,XU-ZHOU/Java,173,3.87,0,https://github.com/XU-ZHOU/Java
41,java8/Java8InAction,3124,9.37,0,https://github.com/java8/Java8InAction
42,itwanger/JavaBooks,5150,2.43,0,https://github.com/itwanger/JavaBooks
43,jonasschmedtmann/complete-javascript-course,12033,4.75,0,https://github.com/jonasschmedtmann/complete-javascript-course
44,blueimp/JavaScript-MD5,4459,11.26,0,https://github.com/blueimp/JavaScript-MD5
45,sorrycc/awesome-javascript,30333,8.7,0,https://github.com/sorrycc/awesome-javascript
46,TheOdinProject/javascript-exercises,831,5.57,0,https://github.com/TheOdinProject/javascript-exercises
47,you-dont-need/You-Dont-Need-JavaScript,18108,6.69,0,https://github.com/you-dont-need/You-Dont-Need-JavaScript
48,Hax4us/java,121,5.54,2,https://github.com/Hax4us/java
49,learning-zone/java-basics,1269,4.02,0,https://github.com/learning-zone/java-basics
50,javaee-samples/javaee7-samples,2507,9.54,0,https://github.com/javaee-samples/javaee7-samples
51,alibaba/arthas,31945,4.54,47,https://github.com/alibaba/arthas
52,hello-java-maker/JavaInterview,4052,3.07,0,https://github.com/hello-java-maker/JavaInterview
53,fabric8io-images/java,173,6.71,21,https://github.com/fabric8io-images/java
54,whx123/JavaHome,3015,2.86,0,https://github.com/whx123/JavaHome
55,langpf1/java,147,9.54,0,https://github.com/langpf1/java
